Complaint ID,Borough,Complaint Date,Latitude,Longitude,Neighborhood
750175772,BROOKLYN,12/28/2019,40.68000674300004,-73.92546037999993,Bedford Stuyvesant
909872869,QUEENS,12/29/2019,40.68218640100008,-73.83969048299997,Ozone Park
701637131,BROOKLYN,12/29/2019,40.695017076000056,-73.94913622899995,Bedford Stuyvesant
393983183,QUEENS,12/29/2019,40.74229123500004,-73.95180669799998,Hunters Point
840393793,STATEN ISLAND,12/29/2019,40.57487061900008,-74.16973443199998,Heartland Village
230959308,QUEENS,12/29/2019,40.676349310000035,-73.74829867999993,Laurelton
999110043,BROOKLYN,12/29/2019,40.68214616800003,-73.92740855799997,Bedford Stuyvesant
941121368,MANHATTAN,12/29/2019,40.70148881400007,-74.01254496799999,Financial District
800011842,STATEN ISLAND,12/29/2019,40.62141559900005,-74.08007850499997,Stapleton
175527758,BROOKLYN,12/29/2019,40.70239712700004,-73.98569773999998,DUMBO
108192896,BROOKLYN,12/29/2019,40.63969607800004,-73.97370533499998,Kensington
346882173,MANHATTAN,12/29/2019,40.82460236600008,-73.95011391699995,Hamilton Heights
151905651,BRONX,12/29/2019,40.86565846400004,-73.89131055799999,Fordham
589942413,MANHATTAN,12/29/2019,40.79882722600007,-73.96689201799995,Upper West Side
614225555,MANHATTAN,12/29/2019,40.75422743200004,-73.96502286299993,Turtle Bay
710571195,BROOKLYN,12/29/2019,40.662812762000044,-73.94351982999996,Wingate
426581463,QUEENS,12/29/2019,40.73392684100002,-73.87158239799999,Elmhurst
545493637,BROOKLYN,12/29/2019,40.60195802700008,-73.99381105099997,Bath Beach
383264775,MANHATTAN,12/29/2019,40.83290039800004,-73.94016652499994,Washington Heights
248509860,QUEENS,12/29/2019,40.734184466000045,-73.81485207099996,Kew Gardens Hills
707524908,BRONX,12/29/2019,40.81039601900005,-73.92531074499993,Mott Haven
714656495,MANHATTAN,12/29/2019,40.758228256000045,-73.98612251699996,Midtown
590607881,QUEENS,12/29/2019,40.717955142000044,-73.75487664699995,Queens Village
773575806,BROOKLYN,12/29/2019,40.651473717000044,-73.91982703499998,East Flatbush
227853158,BROOKLYN,12/29/2019,40.64651679000008,-74.00886260099996,Sunset Park
914366145,BRONX,12/29/2019,40.83796704900004,-73.84349282999993,Unionport
729244026,MANHATTAN,12/29/2019,40.78948378900003,-73.95739533299998,Central Park
148830890,STATEN ISLAND,12/29/2019,40.50235301900005,-74.23485371299995,Tottenville
519724624,BROOKLYN,12/29/2019,40.63388285600007,-74.00228566799996,Borough Park
143678312,MANHATTAN,12/29/2019,40.73938879700007,-73.99116041499997,Flatiron District
535020115,BROOKLYN,12/29/2019,40.70015773000005,-73.91219131299994,Bushwick
156613674,BROOKLYN,12/29/2019,40.699590998000076,-73.95177985899994,Bedford Stuyvesant
412067909,MANHATTAN,12/29/2019,40.718454834000056,-73.99675834799997,Little Italy
743903270,MANHATTAN,12/29/2019,40.72878784500005,-73.98445092199995,East Village
170004036,BROOKLYN,12/29/2019,40.585773655000025,-73.95343536099993,Sheepshead Bay
941782011,MANHATTAN,12/29/2019,40.77426200300005,-73.97924483199995,Upper West Side
814549607,BROOKLYN,12/29/2019,40.66207687900004,-73.95537172999997,Prospect Lefferts Gardens
